rank	lr	epoch	val_acc	test_acc
4	1e-4	1	57.69	64.29
4	1e-4	2	53.85	63.1
4	2e-4	1	50.0	69.05
4	2e-4	2	57.69	63.1
4	3e-4	1	53.85	69.05
4	3e-4	2	73.08	61.9
4	5e-4	1	61.54	66.67
4	5e-4	2	57.69	57.14
8	1e-4	1	53.85	64.29
8	1e-4	2	57.69	61.9
8	2e-4	1	50.0	66.67
8	2e-4	2	65.38	59.52
8	3e-4	1	53.85	70.24
8	3e-4	2	73.08	59.52
8	5e-4	1	65.38	65.48
8	5e-4	2	61.54	63.1
16	1e-4	1	50.0	65.48
16	1e-4	2	50.0	60.71
16	2e-4	1	57.69	66.67
16	2e-4	2	53.85	65.48
16	3e-4	1	57.69	61.9
16	3e-4	2	61.54	61.9
16	5e-4	1	61.54	61.9
16	5e-4	2	53.85	54.76
